trackName,msPlayed,duration_ms,hoursPlayed,Percentage_Listened
You're On My Mind,7279521,12161109,2.02,0.6
Young Dumb & Broke,202546,202547,0.06,1.0
Your Body Is a Wonderland,518505,998508,0.14,0.52
Your Eyes,306932,255060,0.09,1.2
Your Peace (feat. Lil Baby),523216,735680,0.15,0.71
You’re Mines Still (feat. Drake),6029,452440,0.0,0.01
Z4L (with Bari & Jay2),21143,325182,0.01,0.07
ZEZE (feat. Travis Scott & Offset),976009,1372560,0.27,0.71
[Admire Her] (with Gunna),2846608,3155540,0.79,0.9
[oops],145525,284366,0.04,0.51
a m a r i,148421,148421,0.04,1.0
an Interlude Called “Circus” (feat. Eryn Allen Kane),206924,251892,0.06,0.82
bad vibes forever,2412517,2708550,0.67,0.89
ball w/o you,897584,1170282,0.25,0.77
blue,767266,738000,0.21,1.04
booman,71548,155153,0.02,0.46
bury a friend,193143,193143,0.05,1.0
can't leave without it,107746,205352,0.03,0.52
changes,1323,121969,0.0,0.01
cocoa (with Don Toliver),229608,229608,0.06,1.0
comethru,290972,363226,0.08,0.8
everything you need,1314348,2485896,0.37,0.53
family ties (with Kendrick Lamar),2472584,3528980,0.69,0.7
fast (Remix) [feat. Offset & A Boogie Wit da Hoodie],43490,160063,0.01,0.27
first order of business,315925,506277,0.09,0.62
gone girl,955840,955976,0.27,1.0
goosebumps,433422,487674,0.12,0.89
gorgeous,140742,140743,0.04,1.0
heaD iN thE cloudS,1328369,1484784,0.37,0.89
hibachi (feat. Kodak Black & 21 Savage),10629339,13121801,2.95,0.81
julia,850795,1043468,0.24,0.82
just ask,173846,173846,0.05,1.0
last day on earth,4341408,6910240,1.21,0.63
late at night,833763,1572138,0.23,0.53
life got crazy,9342194,13615042,2.6,0.69
lost souls,661248,809184,0.18,0.82
lovesick,150966,150967,0.04,1.0
loving u is harder,737130,737135,0.2,1.0
monster gambling in tokyo,153614,153614,0.04,1.0
moonlit room,205918,501360,0.06,0.41
my new love,73810,131580,0.02,0.56
oneofone_rwrk,91454,91429,0.03,1.0
pick up the phone,252256,252256,0.07,1.0
pushin P (feat. Young Thug),19560373,25345662,5.43,0.77
rockstar (feat. 21 Savage),219726,654441,0.06,0.34
"sincerely, yours",53365,139684,0.01,0.38
snowfall,2706121,3225716,0.75,0.84
superstars,199848,199848,0.06,1.0
"thank u, next",622305,829280,0.17,0.75
this girl,122704,122704,0.03,1.0
too easy (Remix) [feat. Future & Roddy Ricch],14683663,17347704,4.08,0.85
upsides,1382984,1491336,0.38,0.93
viola,86571,86571,0.02,1.0
way back,1390238,1907507,0.39,0.73
when the water meets the mountains (acoustic version),294374,315894,0.08,0.93
wokeuplikethis*,235535,235535,0.07,1.0
