,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,trackName
0,0.711,0.412,9,-6.827,1,0.0445,0.184,0.0,0.0546,0.186,130.015,audio_features,5jYe1mOKg5zUx0enf1DOdz,spotify:track:5jYe1mOKg5zUx0enf1DOdz,https://api.spotify.com/v1/tracks/5jYe1mOKg5zUx0enf1DOdz,https://api.spotify.com/v1/audio-analysis/5jYe1mOKg5zUx0enf1DOdz,203538,4,Cold
0,0.705,0.391,2,-11.626,1,0.0464,0.381,1.7e-05,0.198,0.933,84.003,audio_features,4RDzQSxyEEQlgQl1xEscPu,spotify:track:4RDzQSxyEEQlgQl1xEscPu,https://api.spotify.com/v1/tracks/4RDzQSxyEEQlgQl1xEscPu,https://api.spotify.com/v1/audio-analysis/4RDzQSxyEEQlgQl1xEscPu,188000,4,Cold
0,0.634,0.69,6,-7.804,1,0.052,0.0771,0.0,0.132,0.645,94.988,audio_features,6OtCIsQZ64Vs1EbzztvAv4,spotify:track:6OtCIsQZ64Vs1EbzztvAv4,https://api.spotify.com/v1/tracks/6OtCIsQZ64Vs1EbzztvAv4,https://api.spotify.com/v1/audio-analysis/6OtCIsQZ64Vs1EbzztvAv4,253307,4,Good Life
0,0.439,0.808,1,-6.881,1,0.346,0.00305,0.0,0.439,0.487,82.962,audio_features,14blxrgE0VWAgv5aF2wWmx,spotify:track:14blxrgE0VWAgv5aF2wWmx,https://api.spotify.com/v1/tracks/14blxrgE0VWAgv5aF2wWmx,https://api.spotify.com/v1/audio-analysis/14blxrgE0VWAgv5aF2wWmx,207000,4,Good Life
0,0.435,0.802,1,-6.871,1,0.324,0.00376,0.0,0.467,0.454,84.267,audio_features,1fLdeDTrJWNkwOeFyAVLvF,spotify:track:1fLdeDTrJWNkwOeFyAVLvF,https://api.spotify.com/v1/tracks/1fLdeDTrJWNkwOeFyAVLvF,https://api.spotify.com/v1/audio-analysis/1fLdeDTrJWNkwOeFyAVLvF,207000,4,Good Life
0,0.621,0.758,1,-5.804,0,0.0866,0.257,0.0,0.391,0.768,84.907,audio_features,5YSu5bnAHeB7pn43F9wdbm,spotify:track:5YSu5bnAHeB7pn43F9wdbm,https://api.spotify.com/v1/tracks/5YSu5bnAHeB7pn43F9wdbm,https://api.spotify.com/v1/audio-analysis/5YSu5bnAHeB7pn43F9wdbm,153882,4,STROBE LIGHTS
0,0.678,0.527,4,-9.038,0,0.301,0.3,0.0,0.119,0.583,76.847,audio_features,6oOJL3xj8zRz6URS0SwlXC,spotify:track:6oOJL3xj8zRz6URS0SwlXC,https://api.spotify.com/v1/tracks/6oOJL3xj8zRz6URS0SwlXC,https://api.spotify.com/v1/audio-analysis/6oOJL3xj8zRz6URS0SwlXC,212077,4,Chronicles (feat. H.E.R. & Lil Durk)
0,0.633,0.664,9,-6.588,1,0.381,0.00797,0.0,0.104,0.617,157.148,audio_features,4yIH4PcUVivcxNTy1ETMZ3,spotify:track:4yIH4PcUVivcxNTy1ETMZ3,https://api.spotify.com/v1/tracks/4yIH4PcUVivcxNTy1ETMZ3,https://api.spotify.com/v1/audio-analysis/4yIH4PcUVivcxNTy1ETMZ3,212520,4,Find A Way (feat. Lil Baby & Lil Durk)
0,0.412,0.876,5,-6.008,0,0.47,0.102,0.0,0.297,0.703,130.159,audio_features,5Y77SQxEr1eiofPeUTPHxM,spotify:track:5Y77SQxEr1eiofPeUTPHxM,https://api.spotify.com/v1/tracks/5Y77SQxEr1eiofPeUTPHxM,https://api.spotify.com/v1/audio-analysis/5Y77SQxEr1eiofPeUTPHxM,273133,5,You
0,0.735,0.453,8,-8.264,0,0.0602,0.413,0.0,0.104,0.335,115.002,audio_features,01jIO8SJFnpSiNLH1JaBZ5,spotify:track:01jIO8SJFnpSiNLH1JaBZ5,https://api.spotify.com/v1/tracks/01jIO8SJFnpSiNLH1JaBZ5,https://api.spotify.com/v1/audio-analysis/01jIO8SJFnpSiNLH1JaBZ5,217387,4,You
