,artistName,msPlayed,minPlayed,hourPlayed
987,Luna Deluge,1857,0.03095,0.0005158333333333333
199,Blu Mar Ten,1857,0.03095,0.0005158333333333333
68,Alexander 23,1787,0.029783333333333332,0.0004963888888888889
852,Khleo Thomas,1780,0.029666666666666668,0.0004944444444444445
731,Jeff Bernat,1741,0.029016666666666666,0.0004836111111111111
384,DannyLux,1741,0.029016666666666666,0.0004836111111111111
1383,Ryan Trey,1720,0.028666666666666667,0.00047777777777777776
1549,TSHA,1648,0.027466666666666667,0.00045777777777777776
1793,Young Dolph,1625,0.027083333333333334,0.0004513888888888889
861,Kid Rock,1620,0.027,0.00045
957,Lizzy McAlpine,1620,0.027,0.00045
741,Jesse McCartney,1602,0.0267,0.00044500000000000003
795,Jung Kook,1600,0.02666666666666667,0.00044444444444444447
432,Don Diablo,1580,0.026333333333333334,0.0004388888888888889
208,Bobby Brackins,1580,0.026333333333333334,0.0004388888888888889
803,K-Trap,1550,0.025833333333333333,0.00043055555555555555
280,Cartoon,1540,0.025666666666666667,0.0004277777777777778
1311,R3HAB,1536,0.0256,0.00042666666666666667
686,JULESTHEWULF,1514,0.025233333333333333,0.0004205555555555556
436,Dora Jar,1509,0.02515,0.00041916666666666665
424,Dj Kass,1494,0.0249,0.00041499999999999995
1424,Seed of 6ix,1450,0.024166666666666666,0.0004027777777777778
1804,Young Troy,1439,0.023983333333333332,0.0003997222222222222
916,Le$,1400,0.023333333333333334,0.0003888888888888889
1143,Navagio,1365,0.02275,0.00037916666666666665
1617,The Pointer Sisters,1346,0.022433333333333333,0.0003738888888888889
1029,Marc Anthony,1330,0.022166666666666668,0.0003694444444444445
45,AUDREY NUNA,1323,0.02205,0.0003675
585,Gia Woods,1320,0.022,0.00036666666666666667
374,Daler Mehndi,1301,0.021683333333333332,0.00036138888888888885
945,Lil Tracy,1300,0.021666666666666667,0.00036111111111111115
579,Galvanic,1277,0.021283333333333335,0.00035472222222222226
1623,The Trammps,1253,0.020883333333333334,0.00034805555555555555
1097,Monica,1250,0.020833333333333332,0.0003472222222222222
1414,Scarface,1240,0.020666666666666667,0.0003444444444444444
881,Kranium,1230,0.0205,0.00034166666666666666
367,DJ Ötzi,1220,0.02033333333333333,0.00033888888888888884
520,Father,1207,0.020116666666666668,0.0003352777777777778
1136,Natalie Cole,1194,0.0199,0.0003316666666666667
1715,Vee tha Rula,1184,0.019733333333333332,0.00032888888888888887
982,Luh Kel,1137,0.01895,0.0003158333333333334
1459,SipTee,1137,0.01895,0.0003158333333333334
449,Dub-T,1091,0.018183333333333333,0.00030305555555555554
838,Kelsea Ballerini,1080,0.018,0.0003
124,BORNSTAR,1021,0.017016666666666666,0.0002836111111111111
438,Dough Networkz,1010,0.016833333333333332,0.00028055555555555554
1618,The Pussycat Dolls,998,0.016633333333333333,0.0002772222222222222
738,Jerry Folk,980,0.01633333333333333,0.0002722222222222222
1537,TAEMIN,975,0.01625,0.0002708333333333333
1465,Skepta,928,0.015466666666666667,0.0002577777777777778
1763,Wronix,859,0.014316666666666667,0.00023861111111111113
385,Darius,853,0.014216666666666667,0.00023694444444444446
102,Armani White,835,0.013916666666666667,0.00023194444444444445
87,Anitta,812,0.013533333333333333,0.00022555555555555556
410,Deux Twins,800,0.013333333333333334,0.00022222222222222223
1632,Thouxanbanfauni,789,0.01315,0.00021916666666666666
1074,Mickey Blue,789,0.01315,0.00021916666666666666
878,Kool John,696,0.0116,0.0001933333333333333
602,Grey,620,0.010333333333333333,0.0001722222222222222
1370,Romeo Santos,538,0.008966666666666666,0.00014944444444444442
1189,O-Town,534,0.0089,0.00014833333333333332
666,Ir Sais,534,0.0089,0.00014833333333333332
1127,NEEDTOBREATHE,480,0.008,0.00013333333333333334
1832,bbno$,441,0.00735,0.0001225
501,Ethel Cain,394,0.006566666666666667,0.00010944444444444444
219,Brain 30,348,0.0058,9.666666666666665e-05
832,Kay Flock,340,0.005666666666666667,9.444444444444446e-05
1888,thuy,255,0.00425,7.083333333333334e-05
1122,Måneskin,185,0.0030833333333333333,5.138888888888889e-05
1884,slumped707,162,0.0027,4.5e-05
1587,The Black Keys,0,0.0,0.0
1816,Zach Hood,0,0.0,0.0
1501,Steve Aoki,0,0.0,0.0
603,Gryffin,0,0.0,0.0
1101,Morgan Wallen,0,0.0,0.0
940,Lil Pete,0,0.0,0.0
744,Jetta,0,0.0,0.0
381,Daniel Pemberton,0,0.0,0.0
1382,Ryan Castro,0,0.0,0.0
1688,Two Muses After,0,0.0,0.0
1024,Maluma,0,0.0,0.0
1551,TWICE,0,0.0,0.0
517,Farruko,0,0.0,0.0
